slice,grayvalue,area,mean_contrast,max_contrast,cx,cy
146,92,4,3.3383946,4.54297,588,120
146,93,1,1.6519891,1.6519891,507,131
146,70,1,1.9273206,1.9273206,590,132
146,73,6,1.6061006,4.129973,1004,189
146,77,1,3.5793097,3.5793097,662,205
146,122,6,2.271485,4.54297,436,256
146,109,2,2.7533152,3.8546412,822,317
146,129,6,2.432095,4.2676387,906,332
146,131,6,2.2485406,4.4053044,762,348
146,71,6,2.7533152,5.644296,404,391
146,52,2,0.41299728,0.82599455,562,408
146,88,4,3.8202248,3.992307,782,534
146,71,6,2.042042,3.8546412,726,558
146,123,4,3.372811,3.5793097,1016,556
146,94,6,2.0649865,3.992307,1044,567
146,120,7,2.4386506,4.54297,532,625
146,126,4,3.9578905,5.093633,282,654
146,125,6,2.042042,4.2676387,938,688
146,76,2,0.55066305,1.1013261,696,705
146,59,14,2.3599846,4.8183017,720,752
146,115,6,2.340318,4.4053044,882,751
146,134,4,3.131896,3.7169755,814,820
147,129,1,3.5680585,3.5680585,663,206
147,66,6,1.9670066,4.5286894,856,270
147,101,6,1.761157,3.8425245,718,282
147,50,4,2.6074274,4.6659226,504,296
147,105,6,2.4244502,5.2148547,444,330
147,124,6,2.264345,4.5286894,906,332
147,123,8,2.9333558,4.8031554,762,347
147,52,1,1.2350972,1.2350972,403,392
147,125,4,2.6074274,3.7052915,850,470
147,70,6,2.287217,4.1169906,748,494
147,123,6,2.310089,4.6659226,476,497
147,70,4,1.3723302,1.6467962,782,534
147,48,2,2.4701943,3.5680585,499,540
147,101,6,2.7217882,4.5286894,1044,567
147,123,7,3.0975454,4.8031554,532,625
147,96,1,1.7840292,1.7840292,878,633
147,124,4,4.1512985,4.9403887,282,654
147,109,6,1.8069015,4.9403887,685,690
147,116,5,2.4976408,4.6659226,695,705
147,81,16,2.2300365,5.6265535,720,752
147,135,4,3.259284,4.1169906,814,820
148,70,6,2.4660223,4.3840394,529,150
148,139,3,2.4660223,4.9320445,697,175
148,71,4,2.8770258,3.425031,292,180
148,72,6,1.7581825,4.521041,465,186
148,99,6,2.2605202,4.658042,718,282
148,64,3,2.0550184,3.562032,504,296
148,125,2,3.8360345,4.9320445,762,347
148,90,6,1.8723501,5.0690455,1008,351
148,129,4,3.2880297,4.521041,850,470
148,66,6,2.4203553,3.6990333,748,494
148,128,6,2.785692,4.3840394,476,497
148,50,2,3.014027,4.3840394,499,540
148,99,2,2.123519,2.7400246,532,625
148,67,3,2.3746881,3.9730358,431,629
148,115,8,2.243395,4.658042,694,704
148,111,4,3.459281,4.521041,702,714
